checkpoint,m,method,mean_oracle_pass,n_problems
50,1,leverage,0.66,200
50,1,logprob,0.665,200
50,1,omniscient,0.765,200
50,1,random,0.643,200
50,2,leverage,0.71,200
50,2,logprob,0.705,200
50,2,omniscient,0.765,200
50,2,random,0.6968625000000002,200
50,4,leverage,0.725,200
50,4,logprob,0.715,200
50,4,omniscient,0.765,200
50,4,random,0.7259000000000003,200
50,8,leverage,0.75,200
50,8,logprob,0.75,200
50,8,omniscient,0.765,200
50,8,random,0.7466125000000001,200
100,1,leverage,0.67,200
100,1,logprob,0.66,200
100,1,omniscient,0.765,200
100,1,random,0.6415625,200
100,2,leverage,0.715,200
100,2,logprob,0.69,200
100,2,omniscient,0.765,200
100,2,random,0.6969874999999999,200
100,4,leverage,0.735,200
100,4,logprob,0.73,200
100,4,omniscient,0.765,200
100,4,random,0.7270250000000001,200
100,8,leverage,0.745,200
100,8,logprob,0.75,200
100,8,omniscient,0.765,200
100,8,random,0.746525,200
150,1,leverage,0.63,200
150,1,logprob,0.635,200
150,1,omniscient,0.765,200
150,1,random,0.64265,200
150,2,leverage,0.7,200
150,2,logprob,0.685,200
150,2,omniscient,0.765,200
150,2,random,0.6950750000000001,200
150,4,leverage,0.725,200
150,4,logprob,0.71,200
150,4,omniscient,0.765,200
150,4,random,0.7261500000000001,200
150,8,leverage,0.75,200
150,8,logprob,0.745,200
150,8,omniscient,0.765,200
150,8,random,0.7466874999999998,200
200,1,leverage,0.635,200
200,1,logprob,0.645,200
200,1,omniscient,0.765,200
200,1,random,0.6437999999999999,200
200,2,leverage,0.685,200
200,2,logprob,0.68,200
200,2,omniscient,0.765,200
200,2,random,0.6960250000000002,200
200,4,leverage,0.71,200
200,4,logprob,0.71,200
200,4,omniscient,0.765,200
200,4,random,0.7274250000000001,200
200,8,leverage,0.735,200
200,8,logprob,0.735,200
200,8,omniscient,0.765,200
200,8,random,0.7464875,200
250,1,leverage,0.625,200
250,1,logprob,0.605,200
250,1,omniscient,0.765,200
250,1,random,0.64365,200
250,2,leverage,0.69,200
250,2,logprob,0.685,200
250,2,omniscient,0.765,200
250,2,random,0.6961750000000002,200
250,4,leverage,0.73,200
250,4,logprob,0.725,200
250,4,omniscient,0.765,200
250,4,random,0.7266875000000002,200
250,8,leverage,0.745,200
250,8,logprob,0.735,200
250,8,omniscient,0.765,200
250,8,random,0.7462875000000001,200
300,1,leverage,0.655,200
300,1,logprob,0.625,200
300,1,omniscient,0.765,200
300,1,random,0.6417374999999998,200
300,2,leverage,0.71,200
300,2,logprob,0.695,200
300,2,omniscient,0.765,200
300,2,random,0.6971999999999998,200
300,4,leverage,0.735,200
300,4,logprob,0.72,200
300,4,omniscient,0.765,200
300,4,random,0.7270875,200
300,8,leverage,0.75,200
300,8,logprob,0.745,200
300,8,omniscient,0.765,200
300,8,random,0.746525,200
400,1,leverage,0.64,200
400,1,logprob,0.65,200
400,1,omniscient,0.765,200
400,1,random,0.6425374999999999,200
400,2,leverage,0.685,200
400,2,logprob,0.7,200
400,2,omniscient,0.765,200
400,2,random,0.6974875,200
400,4,leverage,0.72,200
400,4,logprob,0.735,200
400,4,omniscient,0.765,200
400,4,random,0.7267500000000001,200
400,8,leverage,0.745,200
400,8,logprob,0.745,200
400,8,omniscient,0.765,200
400,8,random,0.7458,200
500,1,leverage,0.625,200
500,1,logprob,0.665,200
500,1,omniscient,0.765,200
500,1,random,0.6423750000000001,200
500,2,leverage,0.695,200
500,2,logprob,0.7,200
500,2,omniscient,0.765,200
500,2,random,0.6968000000000001,200
500,4,leverage,0.735,200
500,4,logprob,0.73,200
500,4,omniscient,0.765,200
500,4,random,0.7271875,200
500,8,leverage,0.745,200
500,8,logprob,0.745,200
500,8,omniscient,0.765,200
500,8,random,0.7461875,200
750,1,leverage,0.62,200
750,1,logprob,0.665,200
750,1,omniscient,0.765,200
750,1,random,0.642325,200
750,2,leverage,0.685,200
750,2,logprob,0.695,200
750,2,omniscient,0.765,200
750,2,random,0.6975999999999999,200
750,4,leverage,0.72,200
750,4,logprob,0.725,200
750,4,omniscient,0.765,200
750,4,random,0.726175,200
750,8,leverage,0.735,200
750,8,logprob,0.745,200
750,8,omniscient,0.765,200
750,8,random,0.746175,200
1000,1,leverage,0.62,200
1000,1,logprob,0.65,200
1000,1,omniscient,0.765,200
1000,1,random,0.6428625000000001,200
1000,2,leverage,0.695,200
1000,2,logprob,0.69,200
1000,2,omniscient,0.765,200
1000,2,random,0.6977125,200
1000,4,leverage,0.71,200
1000,4,logprob,0.715,200
1000,4,omniscient,0.765,200
1000,4,random,0.7262875000000002,200
1000,8,leverage,0.74,200
1000,8,logprob,0.755,200
1000,8,omniscient,0.765,200
1000,8,random,0.7464250000000001,200
1500,1,leverage,0.6381909547738693,199
1500,1,logprob,0.6381909547738693,199
1500,1,omniscient,0.7587939698492462,199
1500,1,random,0.6398366834170853,199
1500,2,leverage,0.6834170854271356,199
1500,2,logprob,0.6934673366834171,199
1500,2,omniscient,0.7587939698492462,199
1500,2,random,0.6934045226130653,199
1500,4,leverage,0.7236180904522613,199
1500,4,logprob,0.7135678391959799,199
1500,4,omniscient,0.7587939698492462,199
1500,4,random,0.7216959798994975,199
1500,8,leverage,0.7386934673366834,199
1500,8,logprob,0.7487437185929648,199
1500,8,omniscient,0.7587939698492462,199
1500,8,random,0.74071608040201,199
2000,1,leverage,0.6190476190476191,189
2000,1,logprob,0.6190476190476191,189
2000,1,omniscient,0.7513227513227513,189
2000,1,random,0.6246560846560848,189
2000,2,leverage,0.6878306878306878,189
2000,2,logprob,0.6666666666666666,189
2000,2,omniscient,0.7513227513227513,189
2000,2,random,0.6827777777777778,189
2000,4,leverage,0.7195767195767195,189
2000,4,logprob,0.6984126984126984,189
2000,4,omniscient,0.7513227513227513,189
2000,4,random,0.7121693121693125,189
2000,8,leverage,0.7354497354497355,189
2000,8,logprob,0.7354497354497355,189
2000,8,omniscient,0.7513227513227513,189
2000,8,random,0.7325000000000002,189
3000,1,leverage,0.6012269938650306,163
3000,1,logprob,0.5644171779141104,163
3000,1,omniscient,0.7239263803680982,163
3000,1,random,0.5705214723926381,163
3000,2,leverage,0.6503067484662577,163
3000,2,logprob,0.6441717791411042,163
3000,2,omniscient,0.7239263803680982,163
3000,2,random,0.6440184049079754,163
3000,4,leverage,0.6871165644171779,163
3000,4,logprob,0.6809815950920245,163
3000,4,omniscient,0.7239263803680982,163
3000,4,random,0.68239263803681,163
3000,8,leverage,0.7055214723926381,163
3000,8,logprob,0.7116564417177914,163
3000,8,omniscient,0.7239263803680982,163
3000,8,random,0.7038343558282207,163
4000,1,leverage,0.4621212121212121,132
4000,1,logprob,0.44696969696969696,132
4000,1,omniscient,0.6666666666666666,132
4000,1,random,0.4747916666666666,132
4000,2,leverage,0.5909090909090909,132
4000,2,logprob,0.553030303030303,132
4000,2,omniscient,0.6666666666666666,132
4000,2,random,0.5706439393939394,132
4000,4,leverage,0.6287878787878788,132
4000,4,logprob,0.6287878787878788,132
4000,4,omniscient,0.6666666666666666,132
4000,4,random,0.623219696969697,132
4000,8,leverage,0.6515151515151515,132
4000,8,logprob,0.6515151515151515,132
4000,8,omniscient,0.6666666666666666,132
4000,8,random,0.649375,132
5000,1,leverage,0.3879310344827586,116
5000,1,logprob,0.3620689655172414,116
5000,1,omniscient,0.6120689655172413,116
5000,1,random,0.3895043103448275,116
5000,2,leverage,0.49137931034482757,116
5000,2,logprob,0.47413793103448276,116
5000,2,omniscient,0.6120689655172413,116
5000,2,random,0.4904525862068965,116
5000,4,leverage,0.5603448275862069,116
5000,4,logprob,0.5603448275862069,116
5000,4,omniscient,0.6120689655172413,116
5000,4,random,0.5551077586206897,116
5000,8,leverage,0.603448275862069,116
5000,8,logprob,0.5948275862068966,116
5000,8,omniscient,0.6120689655172413,116
5000,8,random,0.5926508620689656,116
6000,1,leverage,0.2830188679245283,106
6000,1,logprob,0.29245283018867924,106
6000,1,omniscient,0.5660377358490566,106
6000,1,random,0.3081603773584906,106
6000,2,leverage,0.37735849056603776,106
6000,2,logprob,0.4339622641509434,106
6000,2,omniscient,0.5660377358490566,106
6000,2,random,0.4193867924528301,106
6000,4,leverage,0.5188679245283019,106
6000,4,logprob,0.5094339622641509,106
6000,4,omniscient,0.5660377358490566,106
6000,4,random,0.502193396226415,106
6000,8,leverage,0.5660377358490566,106
6000,8,logprob,0.5471698113207547,106
6000,8,omniscient,0.5660377358490566,106
6000,8,random,0.5414858490566038,106
7000,1,leverage,0.22772277227722773,101
7000,1,logprob,0.21782178217821782,101
7000,1,omniscient,0.49504950495049505,101
7000,1,random,0.2401237623762377,101
7000,2,leverage,0.3069306930693069,101
7000,2,logprob,0.3564356435643564,101
7000,2,omniscient,0.49504950495049505,101
7000,2,random,0.3308910891089109,101
7000,4,leverage,0.42574257425742573,101
7000,4,logprob,0.42574257425742573,101
7000,4,omniscient,0.49504950495049505,101
7000,4,random,0.4194801980198021,101
7000,8,leverage,0.45544554455445546,101
7000,8,logprob,0.48514851485148514,101
7000,8,omniscient,0.49504950495049505,101
7000,8,random,0.47215346534653463,101
8000,1,leverage,0.07692307692307693,91
8000,1,logprob,0.08791208791208792,91
8000,1,omniscient,0.23076923076923078,91
8000,1,random,0.07752747252747254,91
8000,2,leverage,0.13186813186813187,91
8000,2,logprob,0.14285714285714285,91
8000,2,omniscient,0.23076923076923078,91
8000,2,random,0.11846153846153845,91
8000,4,leverage,0.1978021978021978,91
8000,4,logprob,0.17582417582417584,91
8000,4,omniscient,0.23076923076923078,91
8000,4,random,0.1728846153846154,91
8000,8,leverage,0.23076923076923078,91
8000,8,logprob,0.21978021978021978,91
8000,8,omniscient,0.23076923076923078,91
8000,8,random,0.21467032967032967,91
