t1,t2,oracle_pass_at_16_no_pruning_mean,exact_leverage_pool16_at_t2_mean,sequential_exact_leverage_mean,sequential_rand_leverage_mean,sequential_logprob_mean,sequential_random_mean,n_counted
50,100,0.765,0.735,0.73,0.725,0.72,0.72625,200
50,200,0.765,0.71,0.735,0.73,0.73,0.72625,200
50,300,0.765,0.735,0.725,0.735,0.73,0.72625,200
50,400,0.765,0.72,0.74,0.73,0.73,0.72625,200
50,500,0.765,0.735,0.725,0.735,0.73,0.72625,200
100,200,0.765,0.71,0.73,0.72,0.715,0.72625,200
100,300,0.765,0.735,0.725,0.725,0.725,0.72625,200
100,400,0.765,0.72,0.735,0.725,0.73,0.72625,200
100,500,0.765,0.735,0.725,0.725,0.73,0.72625,200
150,200,0.765,0.71,0.725,0.73,0.715,0.72625,200
150,300,0.765,0.735,0.725,0.725,0.715,0.72625,200
150,400,0.765,0.72,0.73,0.725,0.725,0.72625,200
150,500,0.765,0.735,0.72,0.715,0.73,0.72625,200
